temp_air,pressure,dew_point,relative_humidity
0.73,97890.0,-2.524449690074488,78.8
1.09,97870.0,-2.7064361616458967,75.75
1.27,97900.0,-2.514341730651847,75.85
1.12,97930.0,-1.6140424417028696,81.95
0.81,97980.0,-1.9169897313804143,81.95
0.2,98040.0,-1.9958704187317442,85.15
-0.04,98080.0,-2.2393956444161978,85.1
-0.25,98150.0,-1.923828988021673,88.45
-0.27,98200.0,-2.4651603501916797,85.1
-0.78,98260.0,-2.4463914101758855,88.45
-1.29,98310.0,-2.956840573197385,88.4
-1.36,98350.0,-3.025857108210159,88.4
-1.35,98400.0,-3.0159975855654517,88.4
-1.52,98410.0,-2.6622400834059055,91.9
-1.49,98440.0,-2.632529578658729,91.9
-1.51,98480.0,-3.1813309807421595,88.35
-1.65,98520.0,-3.3193572299535683,88.35
-1.64,98520.0,-3.3094981737539095,88.35
-1.55,98530.0,-3.2207669337954496,88.35
-1.38,98560.0,-3.570478971528465,85.0
-0.91,98600.0,-2.5821844112832775,88.4
-0.71,98670.0,-2.3773727892575707,88.45
-0.44,98730.0,-2.6399432857900345,85.05
-0.27,98780.0,-2.9970760732608306,81.8
-0.02,98790.0,-2.7527889521116546,81.8
0.23,98770.0,-3.019423163095178,78.75
0.36,98780.0,-2.365002126419995,81.9
0.4,98810.0,-2.3259126967649166,81.9
0.3,98850.0,-2.423636552835561,81.9
-0.11,98880.0,-2.308106213732666,85.1
-0.58,98890.0,-2.2491961114581964,88.45
-1.14,98930.0,-2.278566385961085,91.95
-2.04,98960.0,-3.7114153991619188,88.3
-1.73,98970.0,-3.3982298922227563,88.35
-1.13,98980.0,-2.799089575257817,88.4
-0.37,98980.0,-2.57123557593485,85.05
-0.36,99010.0,-2.553504161969777,85.1
-0.41,98980.0,-2.081581948684739,88.45
-0.19,99000.0,-2.386633037335909,85.1
-0.67,99040.0,-2.3379337060974867,88.45
-0.81,99040.0,-2.4759709069548155,88.45
-0.29,99020.0,-1.963267087690771,88.45
-0.77,98980.0,-2.436531589624788,88.45
-1.01,99000.0,-2.149815098454395,91.95
-1.97,99020.0,-3.11519769184814,91.85
-2.34,99040.0,-3.4816142312143996,91.85
-1.75,99080.0,-3.417948116865782,88.35
-1.15,99100.0,-3.3447250435210116,85.0
-0.5,99080.0,-3.23001419367711,81.75
-0.1,99030.0,-2.830960188011155,81.8
0.27,98990.0,-3.509434965351075,75.7
0.07,98980.0,-3.720765394912285,75.6
-0.57,98980.0,-3.2984123916679486,81.75
-1.54,98980.0,-3.735374017966685,84.95
-2.19,98980.0,-4.388981162965916,84.85
-2.44,98980.0,-4.113294996231028,88.25
-3.67,98970.0,-5.333359972327555,88.2
-4.06,98970.0,-5.725273989535916,88.15
-4.72,98970.0,-6.383307955483472,88.1
-5.4,98950.0,-7.061003737338565,88.05
-5.73,98910.0,-7.3936442746190885,88.0
-5.95,98880.0,-7.6105014698172875,88.0
-6.23,98850.0,-7.886505803041041,88.0
-5.17,98830.0,-7.359724472072368,84.55
-3.1,98790.0,-6.351122729714053,78.2
-2.25,98770.0,-6.019730734565638,75.3
-2.22,98730.0,-5.990683748410074,75.3
-2.2,98720.0,-5.971319156813252,75.3
-2.82,98730.0,-5.537394648894576,81.5
-2.98,98720.0,-5.701761652793604,81.45
-2.53,98720.0,-5.254070067673508,81.5
-1.72,98700.0,-5.497866586915521,75.35
-1.18,98650.0,-5.482639506852594,72.5
-0.74,98530.0,-5.567222453424307,69.75
-0.4,98450.0,-5.240943488161425,69.75
-0.49,98410.0,-4.799339028844397,72.6
-0.88,98380.0,-5.19346176504997,72.5
-1.4,98350.0,-5.712808476774202,72.4
-1.61,98310.0,-5.915216121055511,72.4
-1.67,98250.0,-5.9730480826119665,72.4
-1.74,98200.0,-5.517231368482869,75.35
-1.49,98140.0,-5.275175375829379,75.35
-1.22,98060.0,-4.472345783149827,78.5
-0.95,97990.0,-3.6778874896566776,81.7
-0.64,97900.0,-3.366811054292994,81.75
-0.44,97800.0,-2.6399432857900345,85.05
-0.17,97720.0,-2.367001285567852,85.1
0.0,97650.0,-1.6773429871490788,88.45
0.23,97550.0,-1.9664217105701578,85.15
0.52,97430.0,-1.1569612817638526,88.5
0.8,97310.0,-0.873175163054533,88.55
1.0,97220.0,-0.6759726437871276,88.55
0.83,97200.0,-0.8435946372478283,88.55
1.08,97160.0,-0.06503256698518811,92.05
1.33,97120.0,-0.3428466620812131,88.6
1.51,97090.0,0.3608496462627781,92.05
1.69,97050.0,0.5466321241598716,92.1
1.66,97000.0,0.5169179923552777,92.1
1.63,96980.0,1.011044946633539,95.65
1.88,97010.0,1.2597528472583621,95.65
2.19,97120.0,1.5754371917893768,95.7
2.02,97230.0,1.3990286846527082,95.65
1.4,97330.0,0.2519037337081689,92.05
0.69,97400.0,-0.9816375376666321,88.55
0.39,97520.0,-1.2851379336951063,88.5
0.39,97640.0,-1.2851379336951063,88.5
0.17,97720.0,-1.502054511239375,88.5
-0.23,97790.0,-1.3699255705227065,92.0
-0.24,97850.0,-1.9139694777393947,88.45
-0.51,97890.0,-1.6546241861121813,91.95
-0.81,97890.0,-2.4759709069548155,88.45
-1.23,97930.0,-2.8976837725430733,88.4
-1.49,97950.0,-2.632529578658729,91.9
-1.47,97970.0,-3.1418951222083358,88.35
-1.26,97960.0,-2.9272621464060804,88.4
-1.33,97930.0,-3.52140168417002,85.0
-1.6,97940.0,-3.2700620080305796,88.35
-1.2,97970.0,-2.868105451608222,88.4
-0.47,97950.0,-2.1407396953012916,88.45
0.22,97920.0,-1.976237939006871,85.15
1.07,97890.0,-1.133883194603032,85.2
1.5,97840.0,-0.7037645730513968,85.25
1.56,97780.0,-0.6448651838462724,85.25
1.37,97740.0,-1.3614377606530925,82.0
0.92,97700.0,-1.8094912753968477,81.95
0.72,97660.0,-2.0049438567946862,81.95
0.58,97580.0,-1.6228585140186143,85.15
0.6,97500.0,-1.6032266131847452,85.15
0.43,97450.0,-1.7700987414230138,85.15
0.46,97440.0,-1.7406505588378056,85.15
0.54,97460.0,-1.6621224070883511,85.15
0.35,97520.0,-1.848627563463805,85.15
-0.21,97590.0,-2.938446625307316,81.8
-0.86,97630.0,-3.581781304602356,81.75
-1.33,97670.0,-4.049187912621057,81.7
-1.56,97740.0,-3.7550039165886377,84.95
-1.67,97800.0,-3.8629689114965036,84.95
-1.74,97850.0,-3.9316743950667252,84.95
-1.6,97920.0,-3.794263806557401,84.95
-1.42,97990.0,-3.0926004319585365,88.35
-1.18,98130.0,-3.374170977053576,85.0
-1.02,98230.0,-2.690636637482412,88.4
-0.71,98350.0,-2.9049622595029514,85.05
-0.33,98410.0,-2.5240561559082297,85.1
0.11,98450.0,-2.0921599714947643,85.1
0.55,98440.0,-2.708109711776802,78.75
0.81,98460.0,-2.977608753439116,75.75
0.53,98470.0,-2.727566467441977,78.75
-0.21,98520.0,-2.938446625307316,81.8
-1.44,98570.0,-3.1123182903361624,88.35
-2.48,98590.0,-4.1527280646397555,88.25
-2.47,98600.0,-4.142869788596316,88.25
-2.11,98650.0,-4.310468373969778,84.85
-1.61,98650.0,-3.804078798367323,84.95
-1.79,98670.0,-3.980749972290727,84.95
-2.11,98650.0,-3.780426117656976,88.3
-2.53,98670.0,-4.2020195342697555,88.25
-2.62,98670.0,-4.290744555139258,88.25
-2.66,98680.0,-4.330178052731675,88.25
-2.22,98710.0,-3.8888721199225236,88.3
-2.03,98740.0,-3.7015567488279335,88.3
-1.95,98760.0,-3.6226877597856535,88.3
-2.48,98770.0,-3.620259784416691,91.85
-2.59,98790.0,-3.729196137482126,91.85
-2.29,98860.0,-3.432098156103455,91.85
-2.18,98940.0,-3.3231631500636634,91.85
-1.41,98980.0,-3.0827415116308536,88.35
-1.1,99040.0,-3.2956486416251454,85.0
-1.03,99080.0,-3.7560548584506543,81.7
-1.07,99050.0,-3.7951387711055107,81.7
-0.83,99050.0,-4.6011066030586845,75.55
-0.89,99050.0,-4.676732734859895,75.45
-1.33,99100.0,-4.57934158024565,78.5
-1.88,99140.0,-4.594724356944734,81.65
-2.15,99180.0,-4.3497247062130935,84.85
-2.45,99200.0,-4.644151166819388,84.85
-2.3,99230.0,-5.02128184541629,81.55
-2.39,99250.0,-4.5852653143933555,84.85
-2.61,99270.0,-5.332227764390694,81.5
-3.09,99260.0,-5.280041218560471,84.8
-3.36,99290.0,-6.073006924433479,81.45
-3.84,99270.0,-6.549960947873406,81.4
-4.48,99270.0,-6.146724314109056,88.1
-5.41,99260.0,-7.070861246576865,88.05
-5.66,99250.0,-7.324644876612356,88.0
-5.53,99240.0,-7.720603104682292,84.5
-5.55,99220.0,-7.740227487508713,84.5
-5.53,99210.0,-8.24852282436105,81.1
-6.76,99230.0,-9.465618704309687,81.0
-6.64,99200.0,-9.875538332747512,77.7
-6.18,99160.0,-9.420177420324586,77.75
-4.2,99130.0,-9.017243426375309,69.05
-3.25,99090.0,-8.597909934354043,66.45
-2.84,99010.0,-8.177484628487424,66.6
-2.54,98940.0,-7.369250476841661,69.35
-2.38,98890.0,-7.728506643907819,66.65
-2.47,98870.0,-6.771137770725443,72.25
-3.3,98780.0,-6.54562017598232,78.2
-3.15,98740.0,-6.925704297815345,75.1
-2.99,98680.0,-6.770815785830919,75.1
-4.83,98690.0,-7.018439108840193,84.6
-4.76,98640.0,-6.949748796751495,84.6
-4.54,98620.0,-7.257717971533758,81.25
-4.6,98570.0,-7.316327576523678,81.25
-4.84,98510.0,-7.550769512515594,81.25
-5.18,98420.0,-7.890824914130253,81.2
-5.23,98370.0,-8.471967021046797,77.9
-4.25,98330.0,-8.016351329829572,74.95
-4.65,98290.0,-7.89154789145275,78.0
-4.98,98270.0,-7.6954630729164775,81.2
-4.84,98270.0,-8.07630123484109,78.0
-4.98,98250.0,-7.173287500389328,84.55
-4.77,98300.0,-7.482390033389278,81.25
-4.21,98340.0,-6.927390654617504,81.3
-3.91,98380.0,-6.107963733817099,84.65
-3.59,98430.0,-6.305724384516748,81.4
-2.46,98450.0,-5.185682588316541,81.5
-1.66,98440.0,-5.439772557509357,75.35
-1.44,98430.0,-4.694765576416718,78.45
-1.46,98460.0,-4.71421834668183,78.45
-1.95,98490.0,-4.153444290079735,84.85
-2.17,98550.0,-4.894270947058408,81.55
-2.32,98600.0,-5.040822127564674,81.55
-2.82,98640.0,-5.537394648894576,81.5
-3.24,98670.0,-4.9019744857740495,88.25
-2.94,98680.0,-4.606215206400889,88.25
-2.3,98670.0,-3.9677423907561225,88.3
-1.74,98650.0,-3.4080890015904752,88.35
-1.2,98660.0,-2.868105451608222,88.4
-0.72,98650.0,-1.8626031421619422,91.95
-0.37,98640.0,-1.5085851068931402,92.0
-0.03,98650.0,-0.6475673892054473,95.6
0.37,98650.0,-0.24246332602380136,95.65
0.63,98680.0,-0.5107311319279711,92.05
0.82,98700.0,0.20522211845207902,95.65
0.84,98730.0,0.2251191482628955,95.65
1.07,98780.0,0.4539343729377328,95.65
1.09,98810.0,0.4738312952444362,95.65
1.36,98810.0,0.2122869188929487,92.05
1.82,98790.0,0.14808648334676677,88.65
2.15,98800.0,-0.04957447872451561,85.35
2.24,98710.0,0.562238454124685,88.65
2.03,98670.0,0.8833897986557911,92.1
1.87,98620.0,0.19739082102457253,88.65
1.75,98590.0,0.07906016920435631,88.65
1.45,98570.0,0.30142466272147395,92.05
1.4,98580.0,0.2519037337081689,92.05
1.34,98570.0,0.19247848761709346,92.05
1.29,98590.0,0.1429573398115875,92.05
1.29,98580.0,0.1429573398115875,92.05
1.32,98540.0,0.17267004042904957,92.05
1.48,98520.0,0.3311371723931876,92.05
1.63,98510.0,1.011044946633539,95.65
1.72,98480.0,0.5763462203941256,92.1
1.58,98440.0,0.4301786127283747,92.05
1.6,98380.0,0.4499868530594596,92.05
1.56,98320.0,0.4103703564853315,92.05
1.62,98250.0,0.4697950774786043,92.05
1.57,98160.0,0.4202744865958495,92.05
