# Data source (extracted from Figure): econstor, "Stromverbrauch privater Haushalte in Deutschland: Eine ökonometrische Analyse", https://www.econstor.eu/handle/10419/116776
1 Occupant,1 Occupant,2 Occupants,2 Occupants,3 Occupants,3 Occupants,4+ Occupants,4+ Occupants
X,Y,X,Y,X,Y,X,Y
4410,4.53E-05,4410,0.000202089,4410,0.000231967,4410,0.000222778
4440,4.45E-05,4440,0.000198117,4440,0.000231893,4440,0.000221874
4470,4.38E-05,4470,0.000194748,4470,0.000232166,4470,0.000220891
4500,4.32E-05,4500,0.000191107,4500,0.000232423,4500,0.000219911
4530,4.25E-05,4530,0.000187369,4530,0.000232707,4530,0.000218798
4560,4.17E-05,4560,0.000183752,4560,0.000232966,4560,0.000217405
4590,4.10E-05,4590,0.000179907,4590,0.000233148,4590,0.000216245
4620,4.03E-05,4620,0.000176237,4620,0.000232807,4620,0.00021512
4650,3.99E-05,4650,0.000172322,4650,0.000232185,4650,0.00021397
4680,3.91E-05,4680,0.000168262,4680,0.000231497,4680,0.00021287
4710,3.80E-05,4710,0.000164267,4710,0.000230505,4710,0.000211773
4740,3.68E-05,4740,0.000159956,4740,0.00022977,4740,0.000210388
4770,3.54E-05,4770,0.000155779,4770,0.000229491,4770,0.000208834
4800,3.42E-05,4800,0.000151618,4800,0.000227726,4800,0.00020743
4830,3.32E-05,4830,0.000147105,4830,0.000225978,4830,0.000205968
4860,3.21E-05,4860,0.000142723,4860,0.000224088,4860,0.000204612
4890,3.10E-05,4890,0.000138215,4890,0.00022237,4890,0.000203466
4920,2.99E-05,4920,0.000133993,4920,0.000220494,4920,0.000202244
4950,2.87E-05,4950,0.000130122,4950,0.000220335,4950,0.000201452
4980,2.76E-05,4980,0.000125926,4980,0.000218821,4980,0.000200328
5010,2.64E-05,5010,0.000121972,5010,0.00021689,5010,0.000198595
5040,2.53E-05,5040,0.000118338,5040,0.000215479,5040,0.000196423
5070,2.42E-05,5070,0.000114695,5070,0.000214581,5070,0.000194187
5100,2.31E-05,5100,0.000111267,5100,0.000212248,5100,0.000191844
5130,2.21E-05,5130,0.000107677,5130,0.000209918,5130,0.000189619
5160,2.11E-05,5160,0.000104498,5160,0.000207493,5160,0.000187298
5190,2.02E-05,5190,0.000101699,5190,0.000205482,5190,0.000185061
5220,1.92E-05,5220,9.88E-05,5220,0.000203769,5220,0.000182517
5250,1.81E-05,5250,9.60E-05,5250,0.00020248,5250,0.000179594
5280,1.70E-05,5280,9.34E-05,5280,0.000200385,5280,0.000176328
5310,1.61E-05,5310,9.07E-05,5310,0.000198713,5310,0.000172964
5340,1.51E-05,5340,8.81E-05,5340,0.000196135,5340,0.000169706
5370,1.41E-05,5370,8.55E-05,5370,0.000193316,5370,0.000166644
5400,1.32E-05,5400,8.30E-05,5400,0.000190264,5400,0.000163846
5430,1.23E-05,5430,8.07E-05,5430,0.000186969,5430,0.000161325
5460,1.15E-05,5460,7.85E-05,5460,0.00018423,5460,0.000158921
5490,1.09E-05,5490,7.65E-05,5490,0.000181703,5490,0.000156439
5520,1.03E-05,5520,7.47E-05,5520,0.000179212,5520,0.000153779
5550,9.83E-06,5550,7.31E-05,5550,0.000176959,5550,0.000151158
5580,9.38E-06,5580,7.19E-05,5580,0.000173786,5580,0.00014885
5610,8.99E-06,5610,7.08E-05,5610,0.000170707,5610,0.000146926
5640,8.58E-06,5640,6.98E-05,5640,0.000167478,5640,0.000145355
5670,8.16E-06,5670,6.89E-05,5670,0.000164237,5670,0.000143838
5700,7.85E-06,5700,6.80E-05,5700,0.00016136,5700,0.000142192
5730,7.71E-06,5730,6.71E-05,5730,0.000159058,5730,0.000140245
5760,7.52E-06,5760,6.63E-05,5760,0.00015517,5760,0.000138028
5790,7.26E-06,5790,6.55E-05,5790,0.000151885,5790,0.00013592
5820,7.11E-06,5820,6.47E-05,5820,0.000148532,5820,0.000133832
5850,6.92E-06,5850,6.38E-05,5850,0.000145612,5850,0.000132016
