kWh,1 Occupant,2 Occupants,3 Occupants,4+ Occupants
2970,0.8094589814015188,0.3249205375974366,0.15578051798313816,0.13677737622769154
3000,0.8149730274304047,0.333581420724905,0.16110463713035095,0.1418013437904686
3030,0.8203864872065304,0.3423295505452132,0.1665464932396299,0.14690084904731127
3060,0.8257191882630688,0.351162698457992,0.17208677032642686,0.15208176076580016
3090,0.830939654013872,0.3600678843719005,0.17770609204374194,0.15735502994523512
3120,0.8360145669602767,0.3690518543204894,0.18339588692343187,0.16272849169285006
3150,0.8409517132568615,0.37811210865739836,0.18914854929658087,0.1682052619007109
3180,0.8457767147843925,0.3872359383372777,0.19497298262481658,0.17378494730088703
3210,0.8505083729936559,0.3964240661494363,0.20088116885480403,0.17946782015579196
3240,0.8551442132153667,0.4056707700118447,0.20687479813519122,0.18525548378852763
3270,0.8596831791882447,0.4149645756442225,0.2129534479288161,0.19114942051667883
3300,0.8641094571719821,0.424298857477904,0.21911576008051512,0.19714551615266326
3330,0.8684142047507196,0.43365991263223963,0.22535817320563725,0.20323303145683602
3360,0.8726084372206643,0.44303286369395234,0.23166393672383215,0.20939977512334676
3390,0.8766980092871971,0.45239536442690587,0.23803646111362164,0.21563712550910025
3420,0.8806841884638542,0.46172820068196935,0.24445721510232973,0.22194599015547492
3450,0.8845611804030421,0.471019807830199,0.2509340156274533,0.22833184456212072
3480,0.8883026691094389,0.4802609703079051,0.25746722486370266,0.2348013742838589
3510,0.8918917242236695,0.4894459660330581,0.2640465208318349,0.24135932878723648
3540,0.8953335365154528,0.498563230376714,0.2706689759529418,0.24800900547259527
3570,0.8986281059847894,0.5076071918379496,0.2773165116727355,0.2547402398764967
3600,0.9017856934555426,0.5165757723975011,0.2840016230187206,0.26153379212171773
3630,0.9047915112697915,0.5254652978763813,0.2907182435644998,0.2683688190079336
3660,0.9076253093898514,0.5342701064250032,0.29745098088488636,0.27524060131997624
3690,0.9102961414838374,0.5429787839955288,0.3042033661833055,0.2821434820499203
3720,0.9128100433304934,0.5515959082535818,0.3109740714858195,0.28908466102603453
3750,0.9151911580447929,0.5601260568647858,0.31776360987326796,0.29606731464314356
3780,0.9174606108523382,0.5685542620672003,0.32457285660120067,0.3030905958626275
3810,0.9196153838637575,0.5768813369987982,0.3314000007960663,0.3101555029800026
3840,0.9216645307471661,0.5851097511897181,0.33824597807586637,0.3172537168659665
3870,0.9236201230600508,0.5932313732602342,0.3450902048445668,0.3243743470239779
3900,0.9254972502492705,0.6012511723868458,0.35192951207345263,0.3315052323995657
3930,0.9273230733191707,0.6091615893980296,0.35876054964645376,0.33862985573964227
3960,0.9291096638272383,0.6169572937226315,0.36558189904595495,0.3457431650638676
3990,0.930860039662845,0.6246419294234181,0.37239672930067114,0.3528516039160286
4020,0.9325711829366192,0.6322080577937508,0.37920700219028297,0.3599552630502631
4050,0.9342461115379326,0.6396693817142792,0.3860123253588544,0.3670482131962321
4080,0.9358938791349002,0.6470426759202165,0.39282244734233696,0.3741201688849798
4110,0.9375235393956375,0.6543042389454716,0.3996388168395718,0.38116175218892895
4140,0.9391290565414009,0.661443259066631,0.40646242983101233,0.38816570277705204
4170,0.9407104305721904,0.6684587123321736,0.41329325613543244,0.3951255468541829
4200,0.942267661488006,0.6753566521025621,0.42014484712324185,0.40204010461652945
4230,0.9437977313994761,0.6821499681204736,0.4270270116928438,0.4089126432130542
4260,0.9453036581959723,0.6888354379502389,0.4339419832549518,0.4157510280023703
4290,0.9467794060987511,0.6954105619454978,0.4408856873440752,0.42256378987343507
4320,0.9482279929971843,0.7018674797725148,0.4478512728219445,0.42936079077589423
4350,0.9496494188912717,0.7081964036593975,0.45483228090622646,0.43614783897456977
4380,0.9510436837810137,0.7144051638236598,0.4618241542318167,0.442909597020166
4410,0.9524107876664101,0.7204913208513839,0.46882520265006744,0.44964893879371487
4440,0.9537537484368324,0.7264578562484695,0.47582401765760474,0.45636093332039335
4470,0.9550755839816526,0.7323229300963049,0.48283107213980087,0.4630431907412381
4500,0.9563793121902424,0.7380783507827215,0.48984588319704214,0.4696958018103873
4530,0.9576619151732302,0.7437211970342624,0.4968692657224266,0.4763147430943962
4560,0.958920375041244,0.7492551129136936,0.503900465185308,0.48289154420706604
4590,0.9601577096836557,0.7546732319225796,0.5109371576312951,0.48943325371976965
4620,0.9613739191004652,0.7599808243996319,0.5179635582792652,0.4959409304307816
4650,0.9625780569597879,0.7651705118706545,0.5249711862047526,0.50241381805562
4680,0.9637580517041365,0.7702379274835721,0.5319580494468508,0.5088534291632488
4710,0.9649048496653962,0.7751850287927634,0.5389149729128992,0.515259854507806
4740,0.9660154329541949,0.7800022990723265,0.5458497131779433,0.5216243816920585
4770,0.9670837657917893,0.7846937738959034,0.5527760328809733,0.5279418982329077
4800,0.9681158839569232,0.7892599351230335,0.5596490827203666,0.5342169418372458
4830,0.9691178232283394,0.7936901818438513,0.566469375776963,0.5404477579250745
4860,0.9700865657166665,0.7979884592833353,0.5732326263166904,0.5466375531425975
4890,0.9710221114219048,0.802150972797613,0.5799440255103964,0.5527926802794642
4920,0.9719244603440538,0.8061863356259502,0.5865988047243956,0.558910840230849
4950,0.9727905945937418,0.8101051185619909,0.5932487851234838,0.565005041089843
4980,0.9736235320603409,0.8138975338338424,0.5998530711466251,0.5710652393985246
5010,0.9744202548544793,0.817570869567037,0.6063990772226376,0.5770730120669116
5040,0.9751837808655283,0.8211347629523614,0.6129024975889666,0.5830150787394995
5070,0.9759141100934884,0.8245889429438246,0.6193788152144766,0.5888895033280142
